NYSE,CFI,03.01.00,6.44,6.63,6.38,6.63,9400,6.37
NYSE,CFR,03.01.00,25.47,25.54,23.43,24.11,139400,18.47
NYSE,CGI,03.01.00,5.53,6,5.53,6,8400,2.67
NYSE,CGV,03.01.00,9.75,9.75,9.69,9.69,600,9.06
NYSE,CGX,03.01.00,14.87,15,14.25,14.56,333600,14.56
NYSE,CHB,03.01.00,8.44,8.44,7.88,8.06,136800,8.06
NYSE,CHD,03.01.00,26.96,27.09,25.16,25.91,179800,15.84
NYSE,CHE,03.01.00,28.4,28.65,27.84,28.09,73800,12.83
NYSE,CHG,03.01.00,33,33,32,32.06,58500,19.35
NYSE,CHH,03.01.00,17.06,17.06,15.75,15.75,142200,7.02
NYSE,CHK,03.01.00,2.31,2.38,2.25,2.25,369700,2.08
NYSE,CHL,03.01.00,139.75,141.25,139,139,315600,29.81
NYSE,CHN,03.01.00,11,11.06,10.75,10.88,22900,4.34
NYSE,CHP,03.01.00,42.75,42.75,40.25,40.56,168200,19.84
NYSE,CHS,03.01.00,38.37,38.5,32.5,32.5,698400,1.81
NYSE,CI,03.01.00,80.31,80.5,77.81,78.44,2100600,23.97
NYSE,CIA,03.01.00,6.94,6.94,6.69,6.87,7500,4.56
NYSE,CIB,03.01.00,4.56,4.56,4.56,4.56,600,3.1
NYSE,CIF,03.01.00,5.19,5.38,5.13,5.25,106600,1.69
NYSE,CIG,03.01.00,21.5,22.19,21,21.5,193000,4.33
NYSE,CIR,03.01.00,10.25,10.25,10,10,8000,9.32
NYSE,CIX,03.01.00,18.25,18.25,18.25,18.25,2000,12.51
NYSE,CKH,03.01.00,51.75,52,50.44,51,74700,34
NYSE,CKP,03.01.00,10.25,10.25,9.5,9.69,206600,9.69
NYSE,CKR,03.01.00,5.94,6.69,5.94,6.69,613300,6.06
NYSE,CL,03.01.00,63.84,63.84,61.84,62.09,1217400,51.43
NYSE,CLB,03.01.00,19.75,19.81,18.38,19.25,157600,18.78
NYSE,CLC,03.01.00,17.75,17.75,17.01,17.38,177800,7.57
NYSE,CLF,03.01.00,30.71,30.95,29.78,29.78,331200,3.27
NYSE,CLH,03.01.00,1.22,1.31,1.19,1.25,5800,1.25
NYSE,CLI,03.01.00,26,26,25.31,25.5,95400,12.62
NYSE,CLP,03.01.00,21.95,21.95,21.41,21.59,41900,7.51
NYSE,CLS,03.01.00,56,57,51.38,53.25,552500,53.25
NYSE,CLX,03.01.00,49.75,49.88,48.75,49.19,722000,38.59
NYSE,CM,03.01.00,23.35,23.35,22.74,22.74,21900,14.31
NYSE,CMA,03.01.00,45.71,45.71,44.04,44.47,1102400,30.4
NYSE,CMC,03.01.00,33.81,33.81,33,33.25,228000,3.52
NYSE,CMI,03.01.00,47.94,48.13,46,47.31,772000,9.54
NYSE,CMK,03.01.00,7.97,8.03,7.9,8.03,15900,3.37
NYSE,CMN,03.01.00,4.63,4.75,4.63,4.75,2200,2.11
NYSE,CMO,03.01.00,4.13,4.19,4.06,4.06,49800,1.53
